id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20001	u,Гремлин\0	a,	9C	E8	A9	-1
20002	u,Кролик\0	a,	9C	E8	A9	-1
20003	u,Гоблин\0	a,	9C	E8	A9	-1
20004	u,Бес\0	a,	9C	E8	A9	-1
20005	u,Старший Бес\0	a,	9C	E8	A9	-1
20006	u,Орк Стрелок\0	a,	9C	E8	A9	-1
20007	u,Зеленый Гриб\0	a,	9C	E8	A9	-1
20008	u,Ящер Фелим\0	a,	9C	E8	A9	-1
20009	u,Орк Вуку\0	a,	9C	E8	A9	-1
20010	u,Разведчик Ящеров Фелим\0	a,	9C	E8	A9	-1
20011	u,Стрелок Орков Вуку\0	a,	9C	E8	A9	-1
20012	u,Белый Оборотень\0	a,	9C	E8	A9	-1
20013	u,Дриада\0	a,	9C	E8	A9	-1
20014	u,Воин Ящеров Фелим\0	a,	9C	E8	A9	-1
20015	u,Болотный Зомби\0	a,	9C	E8	A9	-1
20016	u,Каменный Голем\0	a,	9C	E8	A9	-1
20017	u,Воин Орков Вуку\0	a,	9C	E8	A9	-1
20018	u,Плотоядный Гриб\0	a,	9C	E8	A9	-1
20019	u,Старшая Дриада\0	a,	9C	E8	A9	-1
20020	u,Сыщик Болотных Зомби\0	a,	9C	E8	A9	-1
20021	u,Рыжий Медведь\0	a,	9C	E8	A9	-1
20022	u,Скелет Каторжник\0	a,	9C	E8	A9	-1
20023	u,Сумеречный Зверь\0	a,	9C	E8	A9	-1
20024	u,Воин Ящеров Лангк\0	a,	9C	E8	A9	-1
20025	u,Младший Темный Ужас\0	a,	9C	E8	A9	-1
20026	u,Зомби Руин\0	a,	9C	E8	A9	-1
20027	u,Разведчик Ящеров Лангк\0	a,	9C	E8	A9	-1
20028	u,Паук Захватчик\0	a,	9C	E8	A9	-1
20029	u,Опытный Зомби Руин\0	a,	9C	E8	A9	-1
20030	u,Ящер Лангк\0	a,	9C	E8	A9	-1
20031	u,Ониксовый Зверь\0	a,	9C	E8	A9	-1
20032	u,Тарантул\0	a,	9C	E8	A9	-1
20033	u,Бесплотный Ужас\0	a,	9C	E8	A9	-1
20034	u,Паук Скиталец\0	a,	9C	E8	A9	-1
20035	u,Скелет Следопыт\0	a,	9C	E8	A9	-1
20036	u,Лирейн\0	a,	9C	E8	A9	-1
20037	u,Пожиратель Энергии\0	a,	9C	E8	A9	-1
20038	u,Гигантский Ядовитый Паук\0	a,	9C	E8	A9	-1
20039	u,Крысолюд Падальщик\0	a,	9C	E8	A9	-1
20040	u,Трусливый Крысолюд\0	a,	9C	E8	A9	-1
20041	u,Гнилой Зомби\0	a,	9C	E8	A9	-1
20042	u,Главарь Скелетов Следопытов\0	a,	9C	E8	A9	-1
20043	u,Арахнид Охотник\0	a,	9C	E8	A9	-1
20044	u,Старшая Лирейн\0	a,	9C	E8	A9	-1
20045	u,Скелет Разведчик\0	a,	9C	E8	A9	-1
20046	u,Зловонный Зомби\0	a,	9C	E8	A9	-1
20047	u,Главарь Трусливых Крысолюдов\0	a,	9C	E8	A9	-1
20048	u,Младший Суккуб\0	a,	9C	E8	A9	-1
20049	u,Ликантроп\0	a,	9C	E8	A9	-1
20050	u,Ядовитый Арахнид\0	a,	9C	E8	A9	-1
20051	u,Скелет Стрелец\0	a,	9C	E8	A9	-1
20052	u,Младший Суккуб Турен\0	a,	9C	E8	A9	-1
20053	u,Дозорный Гноллов\0	a,	9C	E8	A9	-1
20054	u,Скелет Руин\0	a,	9C	E8	A9	-1
20055	u,Монстроглаз Смотритель\0	a,	9C	E8	A9	-1
20056	u,Разрушитель Дре Ванул \0	a,	9C	E8	A9	-1
20057	u,Младший Суккуб Тилфо\0	a,	9C	E8	A9	-1
20058	u,Гнолл Страж\0	a,	9C	E8	A9	-1
20059	u,Монстроглаз Дозорный\0	a,	9C	E8	A9	-1
20060	u,Скелет Берсерк\0	a,	9C	E8	A9	-1
20061	u,Гнолл Одиночка\0	a,	9C	E8	A9	-1
20062	u,Людоед Тумран\0	a,	9C	E8	A9	-1
20063	u,Гнолл Стрелец\0	a,	9C	E8	A9	-1
20064	u,Воин Людоедов Тумран\0	a,	9C	E8	A9	-1
20065	u,Разведчик Гноллов\0	a,	9C	E8	A9	-1
20066	u,Офицер Гноллов\0	a,	9C	E8	A9	-1
20067	u,Монстроглаз Наблюдатель\0	a,	9C	E8	A9	-1
20068	u,Монстроглаз Разрушитель\0	a,	9C	E8	A9	-1
20069	u,Разведчик Ящеров Селу\0	a,	9C	E8	A9	-1
20070	u,Малый Василиск\0	a,	9C	E8	A9	-1
20071	u,Воин Ящеров Селу\0	a,	9C	E8	A9	-1
20072	u,Василиск\0	a,	9C	E8	A9	-1
20073	u,Легионер Гноллов\0	a,	9C	E8	A9	-1
20074	u,Зеркальная Кошка\0	a,	9C	E8	A9	-1
20075	u,Личинка Муравья\0	a,	9C	E8	A9	-1
20076	u,Командир Гноллов\0	a,	9C	E8	A9	-1
20077	u,Зеркальная Кошка Охотник\0	a,	9C	E8	A9	-1
20078	u,Шепчущий Ветер\0	a,	9C	E8	A9	-1
20079	u,Муравей\0	a,	9C	E8	A9	-1
20080	u,Муравей Главарь\0	a,	9C	E8	A9	-1
20081	u,Муравей Бригадир\0	a,	9C	E8	A9	-1
20082	u,Муравей Рекрут\0	a,	9C	E8	A9	-1
20083	u,Гранитный Голем\0	a,	9C	E8	A9	-1
20084	u,Муравей Ищейка\0	a,	9C	E8	A9	-1
20085	u,Громила\0	a,	9C	E8	A9	-1
20086	u,Муравей Страж\0	a,	9C	E8	A9	-1
20087	u,Муравей Солдат\0	a,	9C	E8	A9	-1
20088	u,Главарь Муравьев Солдат\0	a,	9C	E8	A9	-1
20089	u,Элитный Муравей\0	a,	9C	E8	A9	-1
20090	u,Главарь Элитных Муравьев\0	a,	9C	E8	A9	-1
20091	u,Молодой Лис\0	a,	9C	E8	A9	-1
20092	u,Монстроглаз\0	a,	9C	E8	A9	-1
20093	u,Воин Орков\0	a,	9C	E8	A9	-1
20094	u,Орк Снайпер\0	a,	9C	E8	A9	-1
20095	u,Кровопийца\0	a,	9C	E8	A9	-1
20096	u,Орк Адъютант\0	a,	9C	E8	A9	-1
20097	u,Сверлитель\0	a,	9C	E8	A9	-1
20098	u,Орк Главарь\0	a,	9C	E8	A9	-1
20099	u,Скелет \0	a,	9C	E8	A9	-1
20100	u,Скелет Стрелок\0	a,	9C	E8	A9	-1
20101	u,Разрушитель\0	a,	9C	E8	A9	-1
20102	u,Скелет Снайпер\0	a,	9C	E8	A9	-1
20103	u,Гигантский Паук\0	a,	9C	E8	A9	-1
20104	u,Рейнджер Скелетов\0	a,	9C	E8	A9	-1
20105	u,Темный Ужас\0	a,	9C	E8	A9	-1
20106	u,Когтистый Паук\0	a,	9C	E8	A9	-1
20107	u,Крысолюд\0	a,	9C	E8	A9	-1
20108	u,Опасный Паук\0	a,	9C	E8	A9	-1
20109	u,Саламандра\0	a,	9C	E8	A9	-1
20110	u,Ундина\0	a,	9C	E8	A9	-1
20111	u,Крысолюд Адъютант\0	a,	9C	E8	A9	-1
20112	u,Старшая Саламандра\0	a,	9C	E8	A9	-1
20113	u,Старшая Ундина\0	a,	9C	E8	A9	-1
20114	u,Элитная Саламандра\0	a,	9C	E8	A9	-1
20115	u,Элитная Ундина\0	a,	9C	E8	A9	-1
20116	u,Лис\0	a,	9C	E8	A9	-1
20117	u,Дре Ванул \0	a,	9C	E8	A9	-1
20118	u,Смотритель Дре Ванул \0	a,	9C	E8	A9	-1
20119	u,Матерый Лис\0	a,	9C	E8	A9	-1
20120	u,Волк\0	a,	9C	E8	A9	-1
20121	u,Гигантская Жаба\0	a,	9C	E8	A9	-1
20130	u,Орк \0	a,	9C	E8	A9	-1
20131	u,Орк Воитель\0	a,	9C	E8	A9	-1
20132	u,Оборотень\0	a,	9C	E8	A9	-1
20133	u,Людоед\0	a,	9C	E8	A9	-1
20134	u,Пещерная Дева\0	a,	9C	E8	A9	-1
20135	u,Аллигатор\0	a,	9C	E8	A9	-1
20136	u,Рыцарь Смерти\0	a,	9C	E8	A9	-1
20137	u,Дрейк\0	a,	9C	E8	A9	-1
20138	u,Горгулья\0	a,	9C	E8	A9	-1
20139	u,Гигантская Пчела\0	a,	9C	E8	A9	-1
20140	u,Гигантская Пиявка\0	a,	9C	E8	A9	-1
20141	u,Гигантский Дикий Вепрь\0	a,	9C	E8	A9	-1
20142	u,Грифон\0	a,	9C	E8	A9	-1
20143	u,Гризли\0	a,	9C	E8	A9	-1
20144	u,Висельное Дерево\0	a,	9C	E8	A9	-1
20145	u,Гарпия\0	a,	9C	E8	A9	-1
20146	u,Безглавый Рыцарь\0	a,	9C	E8	A9	-1
20147	u,Хобгоблин\0	a,	9C	E8	A9	-1
20148	u,Голодный Дух\0	a,	9C	E8	A9	-1
20149	u,Железный Голем\0	a,	9C	E8	A9	-1
20150	u,Король Людоедов\0	a,	9C	E8	A9	-1
20151	u,Кобольд\0	a,	9C	E8	A9	-1
20152	u,Ящер\0	a,	9C	E8	A9	-1
20153	u,Магический Ткач\0	a,	9C	E8	A9	-1
20154	u,Росток Мандрагоры\0	a,	9C	E8	A9	-1
20155	u,Корень Мандрагоры\0	a,	9C	E8	A9	-1
20156	u,Цветок Мандрагоры\0	a,	9C	E8	A9	-1
20157	u,Болотный Стакато\0	a,	9C	E8	A9	-1
20158	u,Медуза\0	a,	9C	E8	A9	-1
20159	u,Минотавр\0	a,	9C	E8	A9	-1
20160	u,Потрошитель\0	a,	9C	E8	A9	-1
20161	u,Сфинкс\0	a,	9C	E8	A9	-1
20162	u,Огр\0	a,	9C	E8	A9	-1
20163	u,Гнолл\0	a,	9C	E8	A9	-1
20164	u,Стрелок Гноллов\0	a,	9C	E8	A9	-1
20165	u,Чемпион Гноллов\0	a,	9C	E8	A9	-1
20166	u,Суккуб\0	a,	9C	E8	A9	-1
20167	u,Змей Невольник\0	a,	9C	E8	A9	-1
20168	u,Фавн\0	a,	9C	E8	A9	-1
20169	u,Скелет Гвардеец\0	a,	9C	E8	A9	-1
20170	u,Призрачный Скелет\0	a,	9C	E8	A9	-1
20171	u,Спектр\0	a,	9C	E8	A9	-1
20172	u,Сильф\0	a,	9C	E8	A9	-1
20173	u,Тролль\0	a,	9C	E8	A9	-1
20174	u,Двухголовый Гигант\0	a,	9C	E8	A9	-1
20175	u,Ходячий Гриб\0	a,	9C	E8	A9	-1
20176	u,Змей\0	a,	9C	E8	A9	-1
20177	u,Зомби \0	a,	9C	E8	A9	-1
20189	u,Пума\0	a,	9C	E8	A9	-1
20190	u,Скелет Меткий Стрелец\0	a,	9C	E8	A9	-1
20191	u,Скелет Потрошитель\0	a,	9C	E8	A9	-1
20192	u,Тиран\0	a,	9C	E8	A9	-1
20193	u,Опытный Тиран\0	a,	9C	E8	A9	-1
20194	u,Королева Ундин\0	a,	9C	E8	A9	-1
20197	u,Печальная Дева\0	a,	9C	E8	A9	-1
20198	u,Вурдалак Берсерк\0	a,	9C	E8	A9	-1
20199	u,Янтарный Василиск\0	a,	9C	E8	A9	-1
20200	u,Раб\0	a,	9C	E8	A9	-1
20201	u,Вурдалак\0	a,	9C	E8	A9	-1
20202	u,Поедатель Мертвечины\0	a,	9C	E8	A9	-1
20203	u,Гризли Диона\0	a,	9C	E8	A9	-1
20204	u,Кровавая Пчела\0	a,	9C	E8	A9	-1
20205	u,Жуткий Волк\0	a,	9C	E8	A9	-1
20206	u,Кадифский Оборотень\0	a,	9C	E8	A9	-1
20207	u,Партизан Гноллов\0	a,	9C	E8	A9	-1
20208	u,Бандит Гноллов\0	a,	9C	E8	A9	-1
20209	u,Снайпер Гноллов\0	a,	9C	E8	A9	-1
20210	u,Гнолл Адъютант\0	a,	9C	E8	A9	-1
20211	u,Гнолл Главарь\0	a,	9C	E8	A9	-1
20212	u,Турмак Кровавый Топор\0	u,Лорд Гноллов\0	9C	E8	A9	-1
20213	u,Порта\0	a,	9C	E8	A9	-1
20214	u,Экскуро\0	a,	9C	E8	A9	-1
20215	u,Мордео\0	a,	9C	E8	A9	-1
20216	u,Риценсио\0	a,	9C	E8	A9	-1
20217	u,Кратор\0	a,	9C	E8	A9	-1
20218	u,Премо\0	a,	9C	E8	A9	-1
20219	u,Валидус\0	a,	9C	E8	A9	-1
20220	u,Дикор\0	a,	9C	E8	A9	-1
20221	u,Перум\0	a,	9C	E8	A9	-1
20222	u,Торфе\0	a,	9C	E8	A9	-1
20223	u,Росток Мандрагоры\0	a,	9C	E8	A9	-1
20224	u,Рейнджер Гноллов\0	a,	9C	E8	A9	-1
20225	u,Гигантская Туманная Пиявка\0	a,	9C	E8	A9	-1
20226	u,Серый Муравей\0	a,	9C	E8	A9	-1
20227	u,Туманный Потрошитель\0	a,	9C	E8	A9	-1
20228	u,Гигантский Багровый Муравей\0	a,	9C	E8	A9	-1
20229	u,Жалящая Оса\0	a,	9C	E8	A9	-1
20230	u,Рабочий Болотных Стакато\0	a,	9C	E8	A9	-1
20231	u,Повелитель Жаб\0	a,	9C	E8	A9	-1
20232	u,Солдат Болотных Стакато\0	a,	9C	E8	A9	-1
20233	u,Болотный Паук\0	a,	9C	E8	A9	-1
20234	u,Трутень Болотных Стакато\0	a,	9C	E8	A9	-1
20235	u,Каторжник\0	a,	9C	E8	A9	-1
20236	u,Пещерный Слуга\0	a,	9C	E8	A9	-1
20237	u,Пещерный Слуга Стрелок\0	a,	9C	E8	A9	-1
20238	u,Пещерный Слуга Воин\0	a,	9C	E8	A9	-1
20239	u,Пещерный Слуга Главарь\0	a,	9C	E8	A9	-1
