id	string
1	u,Здравствуйте! Я $s1. Хи-хи! А Вы же $s2? Ха-ха-ха!\0
2	u,$s1--$s2--$s3--$s4//$s5 Хи-хи-хи\0
3	u,Активировать\0
4	u,Деактивировать\0
5	u,Определить дату следующего платежа на $s1/$s2 $s3 ч.\0
6	u,(<font color="FFAABB">$s1</font>аден/$s2 дн.)\0
7	u,$s1<a action="bypass -h menu_select?ask=-270&reply=$s2000">Деактивировать</a>$s3\0
8	u,Уровень\0
9	u,$s1-й уровень\0
10	a,$s1%%\0
1000001	u,Обнаружен нарушитель.\0
1000002	u,Включена система ликвидации посторонних.\0
1000003	u,Ликвидация посторонних.\0
1000004	u,Обнаружена критическая ошибка.\0
1000005	u,Выход из системы…\0
1000006	a,......\0
1000007	u,Поживем-увидим!\0
1000008	u,Я отомщу за это унижение!\0
1000009	u,Отступаем!\0
1000010	u,Тактическое отступление!\0
1000011	u,Все назад!\0
1000012	u,Ты сильнее, чем я думал!\0
1000013	u,В следующий раз я тебя убью!\0
1000014	u,В следующий раз я тебя точно убью!\0
1000015	u,Ох! У тебя есть сила!\0
1000016	u,Тревога!\0
1000017	u,Ты ничего не получишь, даже убив меня!\0
1000018	u,Когда-нибудь ты заплатишь за это!\0
1000019	u,Что ты набросился на меня?\0
1000020	u,Хватит бить меня!\0
1000021	u,Боль пробирает до самых костей!\0
1000022	u,Я тебе не мальчик для битья!\0
1000023	u,Если хочешь, иди за мной!\0
1000024	u,Сдавайся!\0
1000025	u,Мне конец!\0
1000026	u,Я вернусь!\0
1000027	u,Если оставишь меня в живых, я дам тебе 10 миллионов аден!\0
1000028	u,$s1, пойми, тебе со мной не совладать!\0
1000029	u,$s1! Ты узнаешь, что значит настоящий ужас!\0
1000030	u,Глупо! Как ты смеешь бросать мне вызов, $s1! Берегись!\0
1000031	u,$s1. Ты думаешь, у тебя что-то получится?!\0
1000032	u,Я верну свою честь!\0
1000033	u,Я покажу тебе гнев рыцаря, честь которого была осквернена!\0
1000034	u,Смерть лицемеру!\0
1000035	u,Я не смогу спать спокойно, пока не очищу свою запятнанную честь!\0
1000036	u,Я пришел, исчадия ада!\0
1000037	u,Ты вернешься в свою преисподнюю!\0
1000038	u,Я проклинаю тебя силами мести и ненависти!\0
1000039	u,Во славу Грации!\0
1000040	u,Как ты смеешь бросать мне вызов?\0
1000041	u,Я… Я проиграл?!!\0
1000042	u,Я вестник воли Нурки! Прочь с моего пути\0
1000043	u,Все, кто мне противостоит, будут повержены!\0
1000044	u,Как ты смеешь вставать на моем пути!\0
1000045	u,Мои соратники отомстят за меня!\0
1000046	u,Осквернители наших земель, вам нет прощения!\0
1000047	u,Те, кто хочет бросить мне вызов, шаг вперед!\0
1000048	u,Мой создатель… Я верен тебе до конца моей жизни…\0
1000049	u,Властелин… Башни… Мой Господин… Где вы?\0
1000050	u,Я исполнитель воли Ядра!\0
1000051	u,Ликвидируй захватчиков\0
1000052	u,Измененное состояние - не работает\0
1000053	u,По воле Белефа я буду следить за вами!\0
1000054	u,Жалкие смертные… Мне тошно смотреть на вас.\0
1000055	u,Вызов мне - это вызов Белефу…\0
1000056	u,Белеф следит за вами!\0
1000057	u,Конец близок! Антарас пробудился!\0
1000058	u,Противник воли Антараса! Умри!\0
1000059	u,Антарас забрал мою жизнь!\0
1000060	u,Я прошел через семь кругов ада ради этого сокровища!\0
1000061	u,Отдай мне золотое сокровище!\0
1000062	u,Скоро я убью тебя!\0
1000063	u,О нет! Сокровище все еще…\0
1000064	u,Захватчики Долины Драконов не вернутся домой!\0
1000065	u,Я защитник этого места по воле Антараса!\0
1000066	u,Ты находишься в Долине Драконов без разрешения! Готовься к смерти!\0
1000067	u,Антарас забрал мою жизнь!\0
1000068	u,Сладость убийства! Жажда трофеев!\0
1000069	u,В мире еще достаточно глупцов, не знающих страха! Я вам покажу, что значит бояться! \0
1000070	u,Если ты отдашь мне все, что у тебя есть, я, так и быть, оставлю тебя в живых!\0
1000071	u,Как ты можешь преклонять колени перед ним!\0
1000072	u,По воле нашего господина всех захватчиков нужно наказать!\0
1000073	u,По воле нашего господина всех захватчиков нужно наказать!\0
1000074	u,Смерть - это всего лишь небольшой отдых…\0
1000075	u,Слушайте меня! Господству людей пришел конец! Антарас пробудился!\0
1000076	u,Я подарю ваши жизни Антарасу! \0
1000077	u,Невероятно!.. Как я мог проиграть такому жалкому существу, как ты?! \0
1000078	u,Я вернулся из бездны с силой тьмы!\0
1000079	u,Как противно.\0
1000080	u,Наконец-то можно отдохнуть…\0
1000081	u,Слава Орфен!\0
1000082	u,Во имя Орфен! Нет пощады захватчикам, вторгнувшимся в наши земли!\0
1000083	u,Ты заплатишь за то, что вторгаешься на землю Орфен!\0
1000084	u,В любом случае… Даже если ты уйдешь от меня, тебе не сбежать от моего проклятия!\0
1000085	u,Я истреблю всех, кто оскверняет священную землю Эльфов!\0
1000086	u,Ты посмел осквернить нашу землю, я убью тебя!\0
1000087	u,Никто из моих собратьев не успокоится, пока мы не выгоним вас из этой долины!\0
1000088	u,До дня уничтожения Хестуи!\0
1000089	u,Если еще остались храбрые орки, в атаку!\0
1000090	u,Я тебе шею сверну!\0
1000091	u,Неужели я не смогу отомстить?!\0
1000092	u,Сияющий Мифрил гномов и несметные сокровища! Я получу их!\0
1000093	u,Где же все гномы и их богатства?!\0
1000094	u,Давай сюда свои сокровища!\0
1000095	u,Черт! Надо было бежать!\0
1000096	u,Разрушение - Истребление - Резня - Коллапс! Разрушение - Истребление - Резня - Коллапс!\0
1000097	u,Разрушение! Разрушение! Разрушение! Разрушение!\0
1000098	u,Разрушение! Разрушение! Разрушение. . .\0
1000099	u,Та-Дан! Утанка вернулся!\0
1000100	u,Этот остров - собственность Утанки!\0
1000101	u,Да ты действительно молодец!\0
1000102	u,Какой ужасный поворот событий…\0
1000103	u,Этот мир должен наполниться ужасом и печалью…\0
1000104	u,Этот мир проклял меня, я никогда этого не прощу!\0
1000105	u,Я заставлю вас всех почувствовать мою боль!\0
1000106	u,Я прокляну тебя навечно!\0
1000107	u,Я отомщу за смерть моих товарищей!\0
1000108	u,Трусы – убирайтесь вон, храбрецы – в атаку! \0
1000109	u,Я владею силой Белефа, а ты думаешь победить меня?!\0
1000110	u,Я покидаю этот мир. Но когда-нибудь на мое место станет тот, кто проучит вас! \0
1000111	u,Эй, вы! Сделайте кружок по нашей территории!\0
1000112	u,Говорят, что на моей территории появились какие-то дикари…\0
1000113	u,Ты знаешь, кто я?! Я Сирокко! Бейте их!\0
1000114	u,Как такое могло произойти! Непобедимый Сирокко пал!\0
1000115	u,О, как я голоден…\0
1000116	u,Пахнет едой… \0
1000117	u,Ох…\0
1000118	u,Интересно, какой на вкус этот мед?!\0
1000119	u,Дай мне сладкого золотистого меду!\0
1000120	u,Я оставлю тебя в живых, если ты отдашь мне мед!\0
1000121	u,Если бы у меня был мед, я бы не пал от твоих рук…\0
1000122	u,Где этот предатель Куроборос?!\0
1000123	u,Проверьте окрестности!\0
1000124	u,Ты прислужник Куробороса?! Я убью тебя!\0
1000125	u,Он закрыл глаза на предательство… Как это низко!\0
1000126	u,Ад для тех, кто не верит в Куробороса!\0
1000127	u,Все, кто не верит в Куробороса, скоро узнают, что такое адские муки!\0
1000128	u,Лакей дьявола, прислужник лжебогов! Я своими руками отправлю тебя в ад!\0
1000129	u,Я не умираю, а исчезаю лишь на время… Скоро я вновь воскресну!\0
1000130	u,Слава Куроборосу, пророку нашей религии!\0
1000131	u,Только верующий в Куробороса получит спасение!\0
1000132	u,Это вас подстрекает Шарук?! Примкните к Куроборосу и получите спасение!\0
1000133	u,Куроборос проучит вас.\0
1000134	u,Все вы, чьи души светятся ярким пламенем! Я вернулся!\0
1000135	u,Все, кто ослаб и отчаялся… Доверьте мне свои души\0
1000136	u,Цвет твоей души очень притягивает\0
1000137	u,Живущие на этой земле! Знаете ли вы, насколько прекрасны ваши души!\0
1000138	u,Я убью вас всех…\0
1000139	u,Я... так одинок…\0
1000140	u,Мой… Враг...!\0
1000141	u,…Теперь…я не чувствую себя таким одиноким!\0
1000142	u,Я никогда не смогу простить Фею Мурику, она хотела убить нас всех!\0
1000143	u,Убить всех глупых прислужников Мурики!\0
1000144	u,У меня не было таких амбиций!\0
1000145	u,Это еще не конец… Это только начало.\0
1000146	u,Наконец-то кто-то решил скрасить минуты моей жизни…\0
1000147	u,Какое-то сумасшествие творится вокруг…\0
1000148	u,Эй, ты! Ты знаешь, кто я?! Я Малекс, посланник Дагониэля! В атаку!\0
1000149	u,Как такое могло произойти! Я, непобедимый Малекс, пал от рук такого слабака, как ты?!\0
1000150	u,Когда-нибудь все повторится…\0
1000151	u,Все, кто дорожит своей жизнью, трепещите!\0
1000152	u,Вы будете страдать так, словно вас обжигает неугасающее пламя!\0
1000153	u,Снова в грязь…\0
1000154	u,Да здравствует Варика!\0
1000155	u,Никто не сможет остановить нас!\0
1000156	u,Ты слишком медленно двигаешься!\0
1000157	u,Я иду вперед, о Варика!\0
1000158	u,Где я? Кто я?\0
1000159	u,Голова раскалывается! Кто я?\0
