name	id_mk	id_recipe	level	id_item	count	UNK[0]	UNK[1]	mp_cost	success_rate	mat_cnt	item_1	count_1	unk_1	item_2	count_2	unk_2	item_3	count_3	unk_3	item_4	count_4	unk_4	item_5	count_5	unk_5	item_6	count_6	unk_6	item_7	count_7	unk_7	item_8	count_8	unk_8	item_9	count_9	unk_9	item_10	count_10	unk_10

a,mk_g_ev_beer_racipe\0	3002	23308	1	23309	1	1	0	50	95	3	23314	10	0	23315	10	0	23316	5	0																					
a,mk_R1_dagger\0	4000	36732	11	17290	1	1	1	258	60	8	36732	1	0	36794	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_onehand_sword\0	4001	36733	11	17291	1	1	1	258	60	8	36733	1	0	36795	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_twohand_sword\0	4002	36734	11	17292	1	1	1	258	60	8	36734	1	0	36796	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_onehand_blunt\0	4003	36735	11	17293	1	1	1	258	60	8	36735	1	0	36797	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_fist\0	4004	36736	11	17294	1	1	1	258	60	8	36736	1	0	36798	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_spear\0	4005	36737	11	17295	1	1	1	258	60	8	36737	1	0	36799	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_bow\0	4006	36738	11	17296	1	1	1	258	60	8	36738	1	0	36800	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_crossbow\0	4007	36739	11	17297	1	1	1	258	60	8	36739	1	0	36801	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
a,mk_R1_onehand_magic_sword\0	4008	36740	11	17298	1	1	1	258	60	8	36740	1	0	36802	10	0	36523	28	0	36543	13	4114	36548	11	0	36563	9	0	19440	4	0	17371	181	0						
